No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date,Kategori_PM2.5
10013,2014,4,22,4,65.0,119.0,11.0,108.0,700.0,2.0,7.4,1009.7,4.5,0.0,E,0.0,Aotizhongxin,2014-04-22,Sedang
10014,2014,4,22,5,75.0,157.0,13.0,108.0,800.0,2.0,6.9,1010.0,4.7,0.0,NW,0.5,Aotizhongxin,2014-04-22,Tinggi
10015,2014,4,22,6,68.0,140.0,11.0,102.0,800.0,2.0,8.8,1010.0,5.9,0.0,NE,0.8,Aotizhongxin,2014-04-22,Sedang
10016,2014,4,22,7,57.0,65.0,16.0,107.0,800.0,2.0,14.9,1010.3,3.4,0.0,NE,1.3,Aotizhongxin,2014-04-22,Sedang
10017,2014,4,22,8,65.0,71.0,8.0,72.0,500.0,19.0,19.1,1010.2,1.6,0.0,ENE,1.4,Aotizhongxin,2014-04-22,Sedang
10018,2014,4,22,9,56.0,143.0,9.0,82.0,600.0,12.0,22.0,1010.0,0.5,0.0,ENE,1.5,Aotizhongxin,2014-04-22,Sedang
10019,2014,4,22,10,72.0,101.0,7.0,74.0,600.0,28.0,23.9,1009.5,1.5,0.0,SW,1.9,Aotizhongxin,2014-04-22,Sedang
10020,2014,4,22,11,105.0,75.0,7.0,62.0,500.0,54.0,24.6,1008.3,0.8,0.0,SW,3.8,Aotizhongxin,2014-04-22,Tinggi
10021,2014,4,22,12,70.0,95.0,11.0,69.0,500.0,74.0,25.9,1007.2,3.8,0.0,SSW,1.6,Aotizhongxin,2014-04-22,Sedang
10022,2014,4,22,13,75.0,137.0,10.0,71.0,500.0,93.0,26.0,1006.1,4.4,0.0,S,2.5,Aotizhongxin,2014-04-22,Tinggi
10023,2014,4,22,14,76.0,155.0,8.0,50.0,400.0,128.0,26.0,1004.9,5.0,0.0,SSW,2.9,Aotizhongxin,2014-04-22,Tinggi
10024,2014,4,22,15,64.0,106.0,7.0,27.0,300.0,138.0,26.0,1004.0,5.5,0.0,SW,2.8,Aotizhongxin,2014-04-22,Sedang
10025,2014,4,22,16,64.0,106.0,7.0,27.0,300.0,138.0,25.2,1003.7,4.9,0.0,SSW,3.7,Aotizhongxin,2014-04-22,Sedang
10026,2014,4,22,17,72.0,220.0,12.0,30.0,500.0,152.0,24.2,1003.7,5.0,0.0,SW,2.8,Aotizhongxin,2014-04-22,Sedang
10028,2014,4,22,19,72.0,264.0,19.0,33.0,500.0,133.0,21.4,1004.6,3.6,0.0,SW,2.0,Aotizhongxin,2014-04-22,Sedang
10029,2014,4,22,20,86.0,165.0,24.0,43.0,500.0,114.0,20.9,1005.3,3.6,0.0,SW,2.3,Aotizhongxin,2014-04-22,Tinggi
10030,2014,4,22,21,61.0,150.0,18.0,67.0,500.0,72.0,19.7,1005.1,5.3,0.0,SW,2.0,Aotizhongxin,2014-04-22,Sedang
10031,2014,4,22,22,52.0,113.0,14.0,75.0,500.0,60.0,19.4,1005.2,7.2,0.0,SW,2.0,Aotizhongxin,2014-04-22,Sedang
10032,2014,4,22,23,52.0,163.0,17.0,54.0,600.0,76.0,19.0,1005.4,8.9,0.0,SW,1.8,Aotizhongxin,2014-04-22,Sedang
10033,2014,4,23,0,76.0,219.0,19.0,67.0,700.0,58.0,17.7,1005.3,9.1,0.0,WSW,1.5,Aotizhongxin,2014-04-23,Tinggi
10034,2014,4,23,1,83.0,192.0,20.0,65.0,700.0,51.0,15.6,1004.9,10.8,0.0,WSW,0.5,Aotizhongxin,2014-04-23,Tinggi
10035,2014,4,23,2,86.0,218.0,19.0,64.0,700.0,46.0,13.1,1005.1,9.7,0.0,SW,0.4,Aotizhongxin,2014-04-23,Tinggi
10036,2014,4,23,3,94.0,201.0,17.0,58.0,700.0,46.0,12.5,1004.8,10.2,0.0,WSW,0.8,Aotizhongxin,2014-04-23,Tinggi
10037,2014,4,23,4,114.0,223.0,16.0,54.0,700.0,42.0,13.1,1005.1,11.0,0.0,SSW,0.0,Aotizhongxin,2014-04-23,Tinggi
10038,2014,4,23,5,106.0,184.0,16.0,47.0,700.0,40.0,12.3,1005.6,10.9,0.0,S,0.0,Aotizhongxin,2014-04-23,Tinggi
10039,2014,4,23,6,106.0,154.0,14.0,41.0,700.0,41.0,13.6,1005.7,12.2,0.0,S,0.1,Aotizhongxin,2014-04-23,Tinggi
10040,2014,4,23,7,123.0,165.0,17.0,46.0,700.0,34.0,16.4,1006.1,12.0,0.0,WNW,1.1,Aotizhongxin,2014-04-23,Sangat Tinggi
10041,2014,4,23,8,138.0,194.0,21.0,55.0,800.0,28.0,18.5,1006.3,12.3,0.0,SSE,1.4,Aotizhongxin,2014-04-23,Sangat Tinggi
10042,2014,4,23,9,154.0,188.0,29.0,47.0,800.0,41.0,20.0,1006.1,13.0,0.0,SE,1.6,Aotizhongxin,2014-04-23,Sangat Tinggi
10043,2014,4,23,10,169.0,195.0,29.0,47.0,800.0,51.0,21.1,1005.5,13.5,0.0,WNW,0.9,Aotizhongxin,2014-04-23,Sangat Tinggi
10044,2014,4,23,11,193.0,211.0,31.0,56.0,900.0,56.0,22.5,1004.7,13.8,0.0,SSW,1.8,Aotizhongxin,2014-04-23,Sangat Tinggi
10045,2014,4,23,12,205.0,221.0,39.0,56.0,1000.0,84.0,23.2,1003.8,14.5,0.0,SSW,2.4,Aotizhongxin,2014-04-23,Sangat Tinggi
10046,2014,4,23,13,198.0,207.0,40.0,41.0,1000.0,115.0,23.3,1003.1,14.0,0.0,S,1.7,Aotizhongxin,2014-04-23,Sangat Tinggi
10047,2014,4,23,14,202.0,232.0,36.0,35.0,1100.0,121.0,24.3,1002.3,13.8,0.0,S,2.4,Aotizhongxin,2014-04-23,Sangat Tinggi
10048,2014,4,23,15,177.0,187.0,39.0,39.0,1100.0,141.0,23.0,1001.9,13.2,0.0,SW,4.1,Aotizhongxin,2014-04-23,Sangat Tinggi
10049,2014,4,23,16,159.0,171.0,39.0,38.0,1000.0,160.0,23.2,1001.5,13.1,0.0,SSW,2.2,Aotizhongxin,2014-04-23,Sangat Tinggi
10050,2014,4,23,17,164.0,206.0,40.0,36.0,1000.0,150.0,23.0,1002.2,13.2,0.0,SW,2.0,Aotizhongxin,2014-04-23,Sangat Tinggi
10051,2014,4,23,18,142.0,196.0,44.0,36.0,2000.0,148.0,22.5,1003.7,14.1,0.0,SSE,0.5,Aotizhongxin,2014-04-23,Sangat Tinggi
10052,2014,4,23,19,141.0,196.0,44.0,36.0,1100.0,147.0,21.2,1003.9,12.6,0.0,SSW,1.7,Aotizhongxin,2014-04-23,Sangat Tinggi
10053,2014,4,23,20,126.0,198.0,33.0,34.0,900.0,139.0,21.4,1005.4,13.1,0.0,S,1.7,Aotizhongxin,2014-04-23,Sangat Tinggi
10054,2014,4,23,21,116.0,211.0,24.0,56.0,800.0,92.0,20.7,1005.0,12.4,0.0,SW,3.2,Aotizhongxin,2014-04-23,Sangat Tinggi
10055,2014,4,23,22,89.0,133.0,18.0,62.0,600.0,75.0,19.9,1005.8,11.9,0.0,SSW,2.6,Aotizhongxin,2014-04-23,Tinggi
10056,2014,4,23,23,72.0,133.0,14.0,51.0,600.0,89.0,19.1,1006.3,11.6,0.0,S,2.4,Aotizhongxin,2014-04-23,Sedang
10057,2014,4,24,0,77.0,112.0,14.0,40.0,500.0,97.0,18.2,1006.5,11.5,0.0,SSW,2.4,Aotizhongxin,2014-04-24,Tinggi
10058,2014,4,24,1,85.0,141.0,13.0,55.0,600.0,71.0,17.5,1006.6,11.5,0.0,S,2.0,Aotizhongxin,2014-04-24,Tinggi
10059,2014,4,24,2,85.0,134.0,14.0,50.0,500.0,68.0,16.7,1006.7,11.4,0.0,S,2.0,Aotizhongxin,2014-04-24,Tinggi
10060,2014,4,24,3,87.0,119.0,12.0,49.0,600.0,58.0,16.5,1006.9,11.4,0.0,SW,1.8,Aotizhongxin,2014-04-24,Tinggi
10061,2014,4,24,4,89.0,108.0,10.0,29.0,400.0,81.0,16.0,1007.2,11.4,0.0,SSW,1.3,Aotizhongxin,2014-04-24,Tinggi
10062,2014,4,24,5,89.0,110.0,10.0,27.0,500.0,74.0,14.4,1007.5,11.7,0.0,SW,1.2,Aotizhongxin,2014-04-24,Tinggi
10063,2014,4,24,6,95.0,107.0,10.0,51.0,500.0,40.0,16.7,1008.7,12.2,0.0,SSW,1.1,Aotizhongxin,2014-04-24,Tinggi
10064,2014,4,24,7,100.0,112.0,10.0,51.0,600.0,56.0,17.5,1008.9,11.7,0.0,SSW,1.2,Aotizhongxin,2014-04-24,Tinggi
10065,2014,4,24,8,114.0,135.0,13.0,50.0,600.0,57.0,17.9,1009.4,11.7,0.0,WSW,2.0,Aotizhongxin,2014-04-24,Tinggi
10066,2014,4,24,9,114.0,149.0,16.0,61.0,700.0,47.0,18.2,1010.2,12.4,0.0,SSW,1.5,Aotizhongxin,2014-04-24,Tinggi
10067,2014,4,24,10,121.0,158.0,19.0,68.0,800.0,41.0,18.7,1010.2,12.2,0.0,SSE,0.8,Aotizhongxin,2014-04-24,Sangat Tinggi
10068,2014,4,24,11,114.0,138.0,20.0,53.0,700.0,60.0,19.4,1009.8,12.4,0.0,WSW,1.4,Aotizhongxin,2014-04-24,Tinggi
10069,2014,4,24,12,123.0,149.0,22.0,57.0,800.0,54.0,21.4,1009.3,13.1,0.0,SSE,2.1,Aotizhongxin,2014-04-24,Sangat Tinggi
10070,2014,4,24,13,127.0,142.0,28.0,45.0,700.0,73.0,22.4,1008.4,14.3,0.0,SSW,2.6,Aotizhongxin,2014-04-24,Sangat Tinggi
10071,2014,4,24,14,140.0,178.0,32.0,48.0,800.0,86.0,23.6,1007.3,14.6,0.0,S,2.2,Aotizhongxin,2014-04-24,Sangat Tinggi
10072,2014,4,24,15,161.0,200.0,36.0,41.0,900.0,110.0,23.7,1006.8,14.4,0.0,S,2.5,Aotizhongxin,2014-04-24,Sangat Tinggi
10073,2014,4,24,16,177.0,193.0,38.0,36.0,1000.0,137.0,23.7,1006.9,13.8,0.0,SSW,2.2,Aotizhongxin,2014-04-24,Sangat Tinggi
10074,2014,4,24,17,162.0,186.0,40.0,36.0,1000.0,153.0,23.3,1007.0,12.9,0.0,SSW,2.0,Aotizhongxin,2014-04-24,Sangat Tinggi
10075,2014,4,24,18,139.0,149.0,33.0,37.0,800.0,150.0,22.6,1008.0,13.1,0.0,SSW,1.3,Aotizhongxin,2014-04-24,Sangat Tinggi
10076,2014,4,24,19,134.0,141.0,26.0,39.0,700.0,151.0,21.2,1009.1,13.4,0.0,SSW,1.2,Aotizhongxin,2014-04-24,Sangat Tinggi
10077,2014,4,24,20,121.0,165.0,21.0,38.0,800.0,149.0,18.9,1009.6,13.7,0.0,SW,0.7,Aotizhongxin,2014-04-24,Sangat Tinggi
10078,2014,4,24,21,122.0,150.0,17.0,47.0,800.0,126.0,17.2,1010.2,13.7,0.0,SSW,0.8,Aotizhongxin,2014-04-24,Sangat Tinggi
10079,2014,4,24,22,127.0,155.0,14.0,53.0,800.0,107.0,17.2,1010.1,13.7,0.0,SE,1.2,Aotizhongxin,2014-04-24,Sangat Tinggi
10080,2014,4,24,23,138.0,169.0,12.0,103.0,1100.0,42.0,18.5,1010.5,14.2,0.0,W,0.6,Aotizhongxin,2014-04-24,Sangat Tinggi
10081,2014,4,25,0,149.0,191.0,11.0,137.0,1300.0,6.0,16.4,1010.3,13.9,0.0,E,0.0,Aotizhongxin,2014-04-25,Sangat Tinggi
10084,2014,4,25,3,141.0,154.0,15.0,133.0,1200.0,2.0,14.6,1010.3,13.1,0.0,NE,1.7,Aotizhongxin,2014-04-25,Sangat Tinggi
10085,2014,4,25,4,141.0,160.0,16.0,132.0,1200.0,2.0,14.5,1010.8,11.3,0.0,ENE,0.8,Aotizhongxin,2014-04-25,Sangat Tinggi
10087,2014,4,25,6,149.0,176.0,17.0,138.0,1700.0,2.0,15.6,1011.4,11.4,0.0,NE,1.0,Aotizhongxin,2014-04-25,Sangat Tinggi
10088,2014,4,25,7,152.0,215.0,19.0,130.0,1500.0,2.0,17.4,1011.9,11.2,0.0,ENE,0.9,Aotizhongxin,2014-04-25,Sangat Tinggi
10089,2014,4,25,8,164.0,256.0,18.0,123.0,1500.0,2.0,19.2,1012.1,11.0,0.0,NE,1.7,Aotizhongxin,2014-04-25,Sangat Tinggi
10090,2014,4,25,9,152.0,204.0,27.0,117.0,1400.0,2.0,20.6,1012.5,11.2,0.0,N,1.8,Aotizhongxin,2014-04-25,Sangat Tinggi
10091,2014,4,25,10,177.0,223.0,37.0,115.0,1600.0,12.0,22.2,1012.1,12.2,0.0,NE,1.2,Aotizhongxin,2014-04-25,Sangat Tinggi
10092,2014,4,25,11,207.0,246.0,37.0,128.0,1600.0,15.0,24.0,1011.6,12.6,0.0,S,0.7,Aotizhongxin,2014-04-25,Sangat Tinggi
10093,2014,4,25,12,207.0,255.0,36.0,123.0,1500.0,46.0,24.9,1010.8,12.1,0.0,SW,2.5,Aotizhongxin,2014-04-25,Sangat Tinggi
10094,2014,4,25,13,192.0,239.0,40.0,115.0,1400.0,86.0,26.2,1010.1,8.7,0.0,WSW,3.6,Aotizhongxin,2014-04-25,Sangat Tinggi
10095,2014,4,25,14,199.0,211.0,38.0,111.0,1400.0,115.0,25.6,1009.6,7.7,0.0,SW,2.9,Aotizhongxin,2014-04-25,Sangat Tinggi
10096,2014,4,25,15,145.0,94.0,37.0,51.0,800.0,197.0,24.2,1009.3,6.9,0.0,N,2.5,Aotizhongxin,2014-04-25,Sangat Tinggi
10098,2014,4,25,17,80.0,119.0,22.0,31.0,600.0,187.0,21.4,1009.6,6.9,0.0,NNE,1.8,Aotizhongxin,2014-04-25,Tinggi
10100,2014,4,25,19,99.0,295.0,12.0,34.0,500.0,85.0,18.3,1011.3,7.7,0.0,N,2.9,Aotizhongxin,2014-04-25,Tinggi
10109,2014,4,26,4,27.0,46.0,2.0,28.0,200.0,40.0,11.7,1014.2,10.3,0.0,NE,1.4,Aotizhongxin,2014-04-26,Rendah
10110,2014,4,26,5,23.0,46.0,2.0,26.0,200.0,43.0,11.8,1014.8,9.2,0.0,E,1.0,Aotizhongxin,2014-04-26,Rendah
10111,2014,4,26,6,20.0,33.0,2.0,21.0,200.0,45.0,11.9,1015.2,9.1,0.0,ENE,1.3,Aotizhongxin,2014-04-26,Rendah
10112,2014,4,26,7,22.0,33.0,2.0,23.0,200.0,42.0,14.3,1015.5,6.9,0.0,NE,1.6,Aotizhongxin,2014-04-26,Rendah
10113,2014,4,26,8,27.0,46.0,2.0,36.0,200.0,30.0,17.0,1015.8,4.0,0.0,NE,3.0,Aotizhongxin,2014-04-26,Rendah
10114,2014,4,26,9,29.0,69.0,2.0,49.0,300.0,14.0,18.7,1016.0,1.2,0.0,NNE,2.4,Aotizhongxin,2014-04-26,Rendah
10115,2014,4,26,10,46.0,136.0,6.0,40.0,400.0,25.0,19.8,1015.6,-0.3,0.0,NNE,3.1,Aotizhongxin,2014-04-26,Sedang
10117,2014,4,26,12,199.0,199.0,2.0,13.0,400.0,69.0,21.5,1014.9,-0.5,0.0,N,2.9,Aotizhongxin,2014-04-26,Sangat Tinggi
10118,2014,4,26,13,199.0,199.0,2.0,12.0,300.0,78.0,22.5,1014.3,0.3,0.0,NNW,2.2,Aotizhongxin,2014-04-26,Sangat Tinggi
10120,2014,4,26,15,124.0,124.0,4.0,14.0,400.0,89.0,23.6,1012.7,0.0,0.0,N,2.6,Aotizhongxin,2014-04-26,Sangat Tinggi
10121,2014,4,26,16,124.0,124.0,4.0,14.0,400.0,89.0,23.3,1012.8,0.4,0.0,N,1.6,Aotizhongxin,2014-04-26,Sangat Tinggi
10186,2014,4,29,9,121.0,171.0,33.0,81.0,1000.0,24.0,20.4,1009.9,6.0,0.0,ENE,1.7,Aotizhongxin,2014-04-29,Sangat Tinggi
10187,2014,4,29,10,124.0,163.0,31.0,82.0,1100.0,34.0,21.9,1009.1,4.9,0.0,NNE,1.0,Aotizhongxin,2014-04-29,Sangat Tinggi
10188,2014,4,29,11,133.0,155.0,32.0,87.0,1100.0,46.0,23.6,1007.8,5.5,0.0,SE,0.6,Aotizhongxin,2014-04-29,Sangat Tinggi
10189,2014,4,29,12,130.0,144.0,30.0,70.0,1100.0,91.0,24.6,1007.0,6.3,0.0,WSW,1.9,Aotizhongxin,2014-04-29,Sangat Tinggi
10190,2014,4,29,13,111.0,143.0,27.0,67.0,1000.0,130.0,26.2,1005.9,6.2,0.0,SW,3.2,Aotizhongxin,2014-04-29,Tinggi
10191,2014,4,29,14,110.0,136.0,21.0,66.0,900.0,155.0,26.4,1004.7,6.9,0.0,SW,2.7,Aotizhongxin,2014-04-29,Tinggi
10192,2014,4,29,15,139.0,139.0,14.0,47.0,700.0,173.0,26.6,1004.0,6.6,0.0,SSW,2.1,Aotizhongxin,2014-04-29,Sangat Tinggi
10193,2014,4,29,16,131.0,137.0,12.0,38.0,600.0,188.0,25.7,1003.7,6.3,0.0,SW,2.6,Aotizhongxin,2014-04-29,Sangat Tinggi
10194,2014,4,29,17,96.0,120.0,10.0,39.0,500.0,182.0,24.4,1003.5,7.1,0.0,SSW,2.5,Aotizhongxin,2014-04-29,Tinggi
10195,2014,4,29,18,80.0,143.0,14.0,39.0,600.0,174.0,23.3,1003.8,7.4,0.0,SSW,2.3,Aotizhongxin,2014-04-29,Tinggi
10196,2014,4,29,19,110.0,160.0,19.0,38.0,700.0,168.0,22.2,1004.2,8.7,0.0,SW,2.3,Aotizhongxin,2014-04-29,Tinggi
10197,2014,4,29,20,98.0,156.0,22.0,42.0,800.0,155.0,21.4,1004.7,9.3,0.0,SW,2.4,Aotizhongxin,2014-04-29,Tinggi
10198,2014,4,29,21,108.0,166.0,30.0,53.0,1000.0,121.0,20.5,1004.8,9.4,0.0,SSW,1.7,Aotizhongxin,2014-04-29,Tinggi
10199,2014,4,29,22,105.0,154.0,35.0,75.0,1100.0,74.0,20.3,1004.8,9.2,0.0,SW,2.5,Aotizhongxin,2014-04-29,Tinggi
10202,2014,4,30,1,61.0,162.0,30.0,82.0,1100.0,43.0,16.5,1004.6,11.6,0.0,SSW,0.5,Aotizhongxin,2014-04-30,Sedang
10203,2014,4,30,2,98.0,151.0,23.0,73.0,800.0,38.0,13.8,1004.0,10.6,0.0,SW,0.1,Aotizhongxin,2014-04-30,Tinggi
10204,2014,4,30,3,99.0,153.0,20.0,81.0,700.0,13.0,12.8,1003.9,10.5,0.0,W,0.2,Aotizhongxin,2014-04-30,Tinggi
10205,2014,4,30,4,112.0,198.0,19.0,71.0,700.0,10.0,12.8,1004.0,9.6,0.0,NE,0.5,Aotizhongxin,2014-04-30,Tinggi
10207,2014,4,30,6,114.0,192.0,12.0,109.0,900.0,2.0,14.7,1005.1,10.3,0.0,NNE,1.6,Aotizhongxin,2014-04-30,Tinggi
10208,2014,4,30,7,116.0,203.0,17.0,131.0,1200.0,2.0,17.0,1005.2,10.6,0.0,NNE,1.5,Aotizhongxin,2014-04-30,Sangat Tinggi
10209,2014,4,30,8,149.0,241.0,19.0,133.0,1200.0,2.0,19.8,1005.2,11.3,0.0,ENE,1.2,Aotizhongxin,2014-04-30,Sangat Tinggi
10210,2014,4,30,9,161.0,247.0,22.0,134.0,1200.0,10.0,21.7,1005.1,11.4,0.0,WSW,0.7,Aotizhongxin,2014-04-30,Sangat Tinggi
10211,2014,4,30,10,169.0,221.0,24.0,113.0,1200.0,39.0,23.5,1004.9,11.9,0.0,WSW,1.6,Aotizhongxin,2014-04-30,Sangat Tinggi
10212,2014,4,30,11,184.0,210.0,29.0,116.0,1200.0,66.0,25.1,1003.8,12.0,0.0,SW,2.8,Aotizhongxin,2014-04-30,Sangat Tinggi
10213,2014,4,30,12,185.0,200.0,36.0,91.0,1100.0,120.0,26.0,1002.9,11.4,0.0,SW,2.6,Aotizhongxin,2014-04-30,Sangat Tinggi
10214,2014,4,30,13,152.0,158.0,36.0,41.0,800.0,184.0,26.9,1002.3,10.1,0.0,SSW,2.3,Aotizhongxin,2014-04-30,Sangat Tinggi
10215,2014,4,30,14,135.0,155.0,28.0,37.0,700.0,198.0,27.6,1001.5,11.2,0.0,SSW,2.6,Aotizhongxin,2014-04-30,Sangat Tinggi
10216,2014,4,30,15,143.0,147.0,26.0,36.0,600.0,198.0,27.5,1000.8,10.7,0.0,SW,3.5,Aotizhongxin,2014-04-30,Sangat Tinggi
10217,2014,4,30,16,127.0,177.0,23.0,37.0,600.0,197.0,26.7,1000.5,10.4,0.0,SSW,3.5,Aotizhongxin,2014-04-30,Sangat Tinggi
10218,2014,4,30,17,110.0,158.0,18.0,42.0,600.0,189.0,25.7,1000.6,10.7,0.0,SSW,2.6,Aotizhongxin,2014-04-30,Tinggi
10219,2014,4,30,18,105.0,173.0,19.0,46.0,600.0,183.0,24.4,1001.0,11.0,0.0,SW,2.7,Aotizhongxin,2014-04-30,Tinggi
10220,2014,4,30,19,114.0,170.0,10.0,56.0,600.0,162.0,23.7,1001.4,11.4,0.0,SSW,1.8,Aotizhongxin,2014-04-30,Tinggi
10221,2014,4,30,20,92.0,144.0,16.0,71.0,600.0,131.0,22.8,1002.1,12.1,0.0,SW,1.6,Aotizhongxin,2014-04-30,Tinggi
10222,2014,4,30,21,89.0,156.0,16.0,66.0,600.0,121.0,22.2,1002.2,12.2,0.0,SW,1.8,Aotizhongxin,2014-04-30,Tinggi
10223,2014,4,30,22,85.0,143.0,15.0,66.0,600.0,116.0,21.4,1002.2,12.8,0.0,SW,2.0,Aotizhongxin,2014-04-30,Tinggi
10224,2014,4,30,23,88.0,146.0,15.0,75.0,600.0,97.0,20.9,1002.2,12.8,0.0,SW,1.8,Aotizhongxin,2014-04-30,Tinggi
10225,2014,5,1,0,101.0,160.0,15.0,78.0,600.0,85.0,17.7,1002.3,13.2,0.0,SW,1.5,Aotizhongxin,2014-05-01,Tinggi
10226,2014,5,1,1,105.0,194.0,14.0,83.0,600.0,67.0,19.1,1002.0,13.3,0.0,SW,1.9,Aotizhongxin,2014-05-01,Tinggi
10227,2014,5,1,2,113.0,180.0,13.0,84.0,700.0,61.0,16.7,1001.9,13.8,0.0,WSW,0.7,Aotizhongxin,2014-05-01,Tinggi
10228,2014,5,1,3,118.0,176.0,16.0,64.0,600.0,66.0,15.1,1001.9,13.1,0.0,SW,0.0,Aotizhongxin,2014-05-01,Sangat Tinggi
10229,2014,5,1,4,130.0,190.0,15.0,88.0,700.0,36.0,14.6,1002.3,13.3,0.0,SSW,0.0,Aotizhongxin,2014-05-01,Sangat Tinggi
10230,2014,5,1,5,140.0,191.0,13.0,95.0,700.0,20.0,14.4,1002.8,13.6,0.0,NNE,0.4,Aotizhongxin,2014-05-01,Sangat Tinggi
10231,2014,5,1,6,142.0,211.0,9.0,87.0,700.0,10.0,15.8,1003.4,13.3,0.0,NE,1.1,Aotizhongxin,2014-05-01,Sangat Tinggi
10232,2014,5,1,7,149.0,155.0,11.0,88.0,800.0,12.0,18.3,1003.6,12.7,0.0,NNE,1.4,Aotizhongxin,2014-05-01,Sangat Tinggi
10233,2014,5,1,8,138.0,210.0,17.0,116.0,1000.0,7.0,20.5,1002.9,13.5,0.0,N,1.4,Aotizhongxin,2014-05-01,Sangat Tinggi
10234,2014,5,1,9,157.0,191.0,19.0,101.0,900.0,24.0,21.8,1003.4,14.2,0.0,SSW,0.7,Aotizhongxin,2014-05-01,Sangat Tinggi
10235,2014,5,1,10,181.0,234.0,25.0,66.0,900.0,73.0,23.7,1002.6,16.5,0.0,S,1.8,Aotizhongxin,2014-05-01,Sangat Tinggi
10236,2014,5,1,11,166.0,203.0,33.0,50.0,800.0,116.0,25.1,1001.5,17.0,0.0,SW,2.8,Aotizhongxin,2014-05-01,Sangat Tinggi
10237,2014,5,1,12,156.0,209.0,38.0,32.0,800.0,158.0,25.2,1000.4,16.3,0.0,SSW,3.8,Aotizhongxin,2014-05-01,Sangat Tinggi
10238,2014,5,1,13,162.0,202.0,40.0,27.0,900.0,172.0,25.9,999.4,16.7,0.0,SW,3.7,Aotizhongxin,2014-05-01,Sangat Tinggi
10239,2014,5,1,14,154.0,187.0,37.0,27.0,900.0,185.0,25.6,999.1,16.7,0.0,SSW,2.0,Aotizhongxin,2014-05-01,Sangat Tinggi
10240,2014,5,1,15,164.0,208.0,42.0,26.0,1000.0,197.0,25.6,998.6,16.7,0.0,SW,3.5,Aotizhongxin,2014-05-01,Sangat Tinggi
10241,2014,5,1,16,168.0,227.0,38.0,31.0,1000.0,190.0,24.0,1000.3,4.9,0.0,N,4.4,Aotizhongxin,2014-05-01,Sangat Tinggi
10243,2014,5,1,18,114.0,268.0,10.0,31.0,500.0,77.0,20.6,1002.1,0.4,0.0,N,4.5,Aotizhongxin,2014-05-01,Tinggi
10246,2014,5,1,21,52.0,121.0,3.0,14.0,300.0,71.0,15.4,1005.9,3.2,0.0,NE,4.4,Aotizhongxin,2014-05-01,Sedang
10248,2014,5,1,23,38.0,53.0,3.0,21.0,400.0,54.0,14.3,1007.3,1.5,0.0,NNE,4.0,Aotizhongxin,2014-05-01,Sedang
10249,2014,5,2,0,51.0,52.0,5.0,17.0,300.0,58.0,13.6,1007.3,1.9,0.0,NNE,1.8,Aotizhongxin,2014-05-02,Sedang
10250,2014,5,2,1,48.0,48.0,5.0,17.0,300.0,58.0,13.0,1007.2,1.0,0.0,N,3.8,Aotizhongxin,2014-05-02,Sedang
10251,2014,5,2,2,41.0,41.0,5.0,18.0,300.0,54.0,12.8,1007.1,0.5,0.0,N,3.5,Aotizhongxin,2014-05-02,Sedang
10252,2014,5,2,3,36.0,36.0,6.0,17.0,300.0,56.0,13.0,1007.2,0.0,0.0,N,3.1,Aotizhongxin,2014-05-02,Sedang
10254,2014,5,2,5,33.0,33.0,4.0,17.0,300.0,59.0,13.2,1009.0,-1.9,0.0,N,4.1,Aotizhongxin,2014-05-02,Rendah
10259,2014,5,2,10,66.0,85.0,2.0,9.0,400.0,86.0,18.9,1012.5,-5.3,0.0,N,2.2,Aotizhongxin,2014-05-02,Sedang
10260,2014,5,2,11,57.0,63.0,2.0,12.0,400.0,89.0,20.3,1011.6,-6.4,0.0,NNW,3.9,Aotizhongxin,2014-05-02,Sedang
10261,2014,5,2,12,62.0,62.0,2.0,11.0,300.0,95.0,21.6,1010.5,-5.3,0.0,W,1.4,Aotizhongxin,2014-05-02,Sedang
10262,2014,5,2,13,57.0,57.0,2.0,9.0,400.0,99.0,22.6,1009.5,-2.9,0.0,NE,1.4,Aotizhongxin,2014-05-02,Sedang
10263,2014,5,2,14,57.0,57.0,2.0,8.0,300.0,102.0,20.9,1010.1,-1.6,0.0,NW,3.7,Aotizhongxin,2014-05-02,Sedang
10264,2014,5,2,15,51.0,51.0,2.0,13.0,400.0,96.0,21.3,1009.7,-1.3,0.0,NW,2.3,Aotizhongxin,2014-05-02,Sedang
10265,2014,5,2,16,36.0,51.0,2.0,11.0,300.0,95.0,19.9,1011.0,0.8,0.0,NNW,1.1,Aotizhongxin,2014-05-02,Sedang
10267,2014,5,2,18,21.0,131.0,2.0,15.0,300.0,88.0,15.8,1011.8,3.9,0.0,W,0.9,Aotizhongxin,2014-05-02,Rendah
10268,2014,5,2,19,12.0,22.0,2.0,19.0,300.0,81.0,13.1,1012.3,4.5,0.0,WNW,0.0,Aotizhongxin,2014-05-02,Rendah
10269,2014,5,2,20,18.0,19.0,2.0,22.0,400.0,75.0,12.8,1012.8,5.2,0.0,SSW,1.0,Aotizhongxin,2014-05-02,Rendah
10270,2014,5,2,21,17.0,47.0,2.0,70.0,400.0,20.0,11.6,1012.4,4.3,0.0,SSW,0.6,Aotizhongxin,2014-05-02,Rendah
